project,algorithmType,historyType,nCommits,nPaths,avgFilesInCommit,avgRules,avgHistorySize,avgPredictionsCount,successCount,failureCount,noPredictionCount
calcite,SINGLE_FILE,FULL,455,66,5.364188163884673,9.427921092564493,41.42640364188164,0.6752655538694993,217,18,424
calcite,SINGLE_FILE,LINEAR,455,66,5.364188163884673,9.427921092564493,41.42640364188164,0.6509863429438544,218,14,427
calcite,OTHER_FILES,FULL,463,690,6.249265138154027,8.359788359788359,60.69547325102881,1.3733098177542622,220,738,743
calcite,OTHER_FILES,LINEAR,463,690,6.249265138154027,8.359788359788359,60.69547325102881,1.422692533803645,220,803,678
activemq-apollo,SINGLE_FILE,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
activemq-apollo,SINGLE_FILE,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
activemq-apollo,OTHER_FILES,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
activemq-apollo,OTHER_FILES,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
brooklyn-docs,SINGLE_FILE,FULL,99,41,4.370860927152318,8.56953642384106,8.56953642384106,0.8211920529801324,54,5,92
brooklyn-docs,SINGLE_FILE,LINEAR,99,41,4.370860927152318,8.56953642384106,8.56953642384106,0.8211920529801324,46,8,97
brooklyn-docs,OTHER_FILES,FULL,133,198,5.5875299760191846,8.203836930455635,13.318944844124701,1.170263788968825,47,206,164
brooklyn-docs,OTHER_FILES,LINEAR,133,198,5.5875299760191846,8.203836930455635,13.318944844124701,1.3908872901678657,51,212,154
qpid-proton,SINGLE_FILE,FULL,552,101,4.590322580645161,8.751612903225807,40.98924731182796,0.8666666666666667,406,56,468
qpid-proton,SINGLE_FILE,LINEAR,552,101,4.590322580645161,8.751612903225807,40.98924731182796,0.9075268817204301,395,57,478
qpid-proton,OTHER_FILES,FULL,589,477,5.347305389221557,7.611867174741426,59.12738160043549,1.4158954817637452,304,880,653
qpid-proton,OTHER_FILES,LINEAR,589,477,5.347305389221557,7.611867174741426,59.12738160043549,1.3826891671203048,296,874,667
incubator-tamaya-extensions,SINGLE_FILE,FULL,92,32,3.9646017699115044,8.43362831858407,12.867256637168142,0.5486725663716814,30,12,71
incubator-tamaya-extensions,SINGLE_FILE,LINEAR,92,32,3.9646017699115044,8.43362831858407,12.867256637168142,0.4778761061946903,23,13,77
incubator-tamaya-extensions,OTHER_FILES,FULL,110,228,5.757225433526012,8.034682080924856,16.90173410404624,1.1445086705202312,39,160,147
incubator-tamaya-extensions,OTHER_FILES,LINEAR,110,228,5.757225433526012,8.034682080924856,16.90173410404624,1.023121387283237,27,145,174
incubator-asterixdb-hyracks,SINGLE_FILE,FULL,90,25,5.071428571428571,9.673469387755102,9.571428571428571,0.6938775510204082,39,4,55
incubator-asterixdb-hyracks,SINGLE_FILE,LINEAR,90,25,5.071428571428571,9.673469387755102,9.571428571428571,0.6836734693877551,38,2,58
incubator-asterixdb-hyracks,OTHER_FILES,FULL,145,375,6.492957746478873,9.217527386541471,13.039123630672927,1.5352112676056338,79,392,168
incubator-asterixdb-hyracks,OTHER_FILES,LINEAR,145,375,6.492957746478873,9.217527386541471,13.039123630672927,1.4632237871674492,74,382,183
vcl,SINGLE_FILE,FULL,0,0,NaN,NaN,NaN,NaN,0,0,0
vcl,SINGLE_FILE,LINEAR,0,0,NaN,NaN,NaN,NaN,0,0,0
