name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
nicklopez/cnm-parking,562,562,524,8,120,5,8.491666666666667,8.108333333333333,6,21.166666666666668,13.5,1.7666666666666666,1.75,3.0,2.6666666666666665
michaelorschel/MalwareKit,6,6,6,0,37,2,1.2162162162162162,1.2162162162162162,0,0.0,0.0,1.054054054054054,1.054054054054054,NaN,NaN
datudou/CardPrice,29,29,28,1,24,2,4.375,4.333333333333333,1,11.0,10.0,1.4166666666666667,1.4166666666666667,1.0,1.0
jonanp/BugsControl,156,149,126,2,80,2,6.9,6.6375,14,11.5,10.0,1.0,1.0,1.0,1.0
pld-linux/vim,1268,1262,1252,3,45,62,21.88888888888889,21.57777777777778,4,213.75,210.25,3.311111111111111,3.2888888888888888,17.0,16.75
the-domains/learning-ways-hellas,97,48,48,0,4,2,9.5,9.5,0,0.0,0.0,1.5,1.5,NaN,NaN
shalture/thelfylda,1965,1965,1589,85,508,50,9.62007874015748,8.34251968503937,177,20.89265536723164,17.225988700564972,3.7460629921259843,3.482283464566929,6.15819209039548,5.401129943502825
xwp/wp-dev-lib,763,667,246,167,32,34,18.25,4.59375,23,24.652173913043477,5.6521739130434785,3.21875,1.5625,4.043478260869565,1.7391304347826086
fanserv/FanServSDK,110,83,47,2,4,4,9.25,8.0,2,12.0,9.5,1.5,1.25,2.0,1.5
systemsoverload/love-gorillas,118,118,109,7,37,5,4.027027027027027,3.891891891891892,4,22.5,21.25,1.1891891891891893,1.1081081081081081,2.5,1.75
FredHutch/swift-switch-account,131,131,123,4,34,6,5.176470588235294,5.0,2,23.0,20.0,1.3529411764705883,1.3235294117647058,2.5,2.0
livehub/livehub,101,101,70,24,648,3,2.0925925925925926,2.0339506172839505,13,11.307692307692308,8.384615384615385,1.0262345679012346,1.0262345679012346,1.5384615384615385,1.5384615384615385
KYUNGIL-group3/Poly,241,241,218,19,3799,6,1.8783890497499343,1.8394314293235061,120,7.325,6.091666666666667,1.4453803632534878,1.430376414846012,2.2,1.725
webercoder/webercoder.com,248,247,169,22,615,3,1.8617886178861789,1.5073170731707317,58,5.448275862068965,1.6896551724137931,1.0113821138211383,1.0016260162601627,1.1206896551724137,1.0172413793103448
boostorg/algorithm,641,435,378,27,214,58,5.663551401869159,5.457943925233645,19,7.421052631578948,5.105263157894737,2.2383177570093458,2.107476635514019,3.0,1.5263157894736843
karolzmuda/music-visualizer,54,54,54,0,31,1,4.387096774193548,4.387096774193548,0,0.0,0.0,1.0,1.0,NaN,NaN
StyXman/elevation,661,651,582,8,55,9,10.236363636363636,8.909090909090908,11,34.54545454545455,27.90909090909091,1.1636363636363636,1.0363636363636364,1.8181818181818181,1.1818181818181819
