name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
couchdb-nmo,93,90,90,0,82,5,4.109756097560975,4.109756097560975,0,0.0,0.0,1.451219512195122,1.451219512195122,NaN,NaN
iampoc,3,3,3,0,154,1,1.3051948051948052,1.3051948051948052,0,0.0,0.0,1.0,1.0,NaN,NaN
cassandra-builds,74,74,74,0,25,7,4.08,4.08,0,0.0,0.0,1.52,1.52,NaN,NaN
incubator-taverna-common-activities,991,849,117,31,291,18,6.103092783505154,2.6666666666666665,98,14.755102040816327,4.551020408163265,1.9725085910652922,1.3058419243986255,3.5714285714285716,1.5918367346938775
wink-website,133,117,117,0,12656,8,1.2861093552465235,1.2861093552465235,0,0.0,0.0,1.0000790139064475,1.0000790139064475,NaN,NaN
couchdb-ci,91,91,87,1,181,7,5.790055248618785,5.790055248618785,0,0.0,0.0,1.8121546961325967,1.8121546961325967,NaN,NaN
commons-testing,20,20,20,0,49,2,1.7346938775510203,1.7346938775510203,0,0.0,0.0,1.3061224489795917,1.3061224489795917,NaN,NaN
activemq-web,3,1,1,0,1523,2,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
activemq-nms-zmq,24,21,21,0,36,3,3.361111111111111,3.361111111111111,0,0.0,0.0,1.0833333333333333,1.0833333333333333,NaN,NaN
guacamole-website,223,179,78,56,10834,5,1.139468340409821,1.1275613808381022,44,4.9772727272727275,2.0454545454545454,1.0,1.0,1.0,1.0
usergrid-dotnet,2,2,2,0,193,1,1.005181347150259,1.005181347150259,0,0.0,0.0,1.0,1.0,NaN,NaN
couchdb-rebar,1783,1781,1281,303,310,202,8.493548387096775,6.151612903225806,120,19.7,13.65,3.129032258064516,2.329032258064516,6.15,4.083333333333333
commons-math,7143,6366,5932,72,1484,56,8.809299191374663,8.328167115902964,223,21.582959641255606,18.381165919282513,3.82277628032345,3.6960916442048517,5.8923766816143495,5.04932735426009
incubator-optiq-csv,70,70,69,1,38,5,4.368421052631579,4.315789473684211,2,11.0,10.0,1.394736842105263,1.3421052631578947,4.0,3.0
clerezza,2404,2227,2107,28,316,19,10.063291139240507,9.778481012658228,38,31.68421052631579,29.31578947368421,1.6012658227848102,1.5727848101265822,2.473684210526316,2.236842105263158
incubator-gobblin,4944,4898,1914,1416,3324,134,7.351684717208183,2.5869434416365826,2506,9.07781324820431,2.757781324820431,3.3471720818291217,1.6209386281588447,3.963687150837989,1.6739824421388667
incubator-taverna-maven-parent,257,257,252,4,9,13,29.666666666666668,29.11111111111111,2,119.5,117.0,3.2222222222222223,2.7777777777777777,8.5,6.5
couchdb-admin,130,130,124,2,45,9,4.2,4.111111111111111,3,8.0,6.666666666666667,1.3555555555555556,1.3555555555555556,2.6666666666666665,2.6666666666666665
usergrid-javascript,2,2,2,0,52,1,1.0192307692307692,1.0192307692307692,0,0.0,0.0,1.0,1.0,NaN,NaN
