name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
mat/org.eclipse.mat,1625,1548,1541,5,1484,10,5.318733153638814,5.3126684636118595,8,24.25,23.125,2.2324797843665767,2.2297843665768196,3.5,3.0
egit/egit,14339,5419,3861,942,2089,186,11.060794638583054,6.788894207754907,895,23.193296089385473,13.222346368715083,3.4877932024892293,3.071325993298229,6.050279329608938,5.078212290502793
egit/egit-pde,51,28,26,2,88,7,1.8181818181818181,1.8181818181818181,0,0.0,0.0,1.2840909090909092,1.2840909090909092,NaN,NaN
egit/egit-github,1549,822,623,94,454,42,10.698237885462555,6.458149779735683,132,31.916666666666668,17.333333333333332,1.7268722466960353,1.6409691629955947,2.765151515151515,2.4696969696969697
umlgen/org.eclipse.umlgen,138,81,79,2,2927,8,1.8848650495387769,1.883840109326956,3,3.3333333333333335,2.3333333333333335,1.0505637171165014,1.0505637171165014,1.0,1.0
pde/eclipse.pde.ui,16243,13112,12455,6,8236,146,7.193176299174357,7.155293831957261,116,38.83620689655172,36.14655172413793,3.0460174842156387,3.036546867411365,5.620689655172414,4.948275862068965
pde/eclipse.pde,713,634,634,0,2,23,2.5,2.5,0,0.0,0.0,2.5,2.5,NaN,NaN
pde/eclipse.pde.build,1984,1605,1605,0,446,37,10.073991031390134,10.073991031390134,0,0.0,0.0,2.3946188340807173,2.3946188340807173,NaN,NaN
sensinact/org.eclipse.sensinact.gateway,369,366,231,46,1468,5,1.8773841961852862,1.6784741144414168,141,6.219858156028369,4.148936170212766,1.3426430517711172,1.3153950953678475,2.382978723404255,2.099290780141844
sensinact/org.eclipse.sensinact.studioweb,2,2,2,0,5,1,1.2,1.2,0,0.0,0.0,1.0,1.0,NaN,NaN
jetty/org.eclipse.jetty.wtp,96,90,89,1,163,5,3.9079754601226995,3.9079754601226995,0,0.0,0.0,1.0797546012269938,1.0797546012269938,NaN,NaN
jetty/org.eclipse.jetty.releng.bundles,138,108,60,2,21,7,13.666666666666666,7.904761904761905,11,24.272727272727273,13.272727272727273,2.9523809523809526,2.857142857142857,4.181818181818182,4.0
jetty/org.eclipse.jetty.project,12362,11811,4945,1687,3787,41,21.14628993926591,7.599419065223132,2885,27.05996533795494,9.277642980935875,3.118827567995775,2.3879059941906524,3.6679376083188906,2.7084922010398613
emf/org.eclipse.emf.eson,378,157,149,8,570,8,2.7964912280701753,2.7719298245614037,13,7.769230769230769,6.6923076923076925,1.1087719298245613,1.1070175438596492,1.7692307692307692,1.6923076923076923
emf/org.eclipse.emf,9588,8522,8342,37,5895,45,6.096861747243427,5.91704834605598,343,15.927113702623906,12.83673469387755,2.6776929601357082,2.637489397794741,3.052478134110787,2.361516034985423
