name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
andrewkatz/gdobstars,25,25,25,0,7874,1,1.0060960121920244,1.0060960121920244,0,0.0,0.0,1.0,1.0,NaN,NaN
jeromedecoster/mai1,10,10,6,2,3,3,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
michaelorschel/MalwareKit,6,6,6,0,37,2,1.2162162162162162,1.2162162162162162,0,0.0,0.0,1.054054054054054,1.054054054054054,NaN,NaN
boostorg/algorithm,641,435,378,27,214,58,5.663551401869159,5.457943925233645,19,7.421052631578948,5.105263157894737,2.2383177570093458,2.107476635514019,3.0,1.5263157894736843
yang0508/packages_services_Telephony,1035,957,359,390,604,138,4.970198675496689,3.1788079470198674,164,13.628048780487806,7.030487804878049,2.447019867549669,1.8774834437086092,5.896341463414634,3.798780487804878
AsgardCms/Documentation,407,407,387,16,165,17,6.175757575757576,5.866666666666666,40,12.45,11.175,1.3636363636363635,1.0727272727272728,2.275,1.075
datudou/CardPrice,29,29,28,1,24,2,4.375,4.333333333333333,1,11.0,10.0,1.4166666666666667,1.4166666666666667,1.0,1.0
dalekjs/dalekjs.com,599,598,467,34,280,17,3.642857142857143,3.192857142857143,28,22.285714285714285,17.785714285714285,1.1571428571428573,1.1,2.1785714285714284,1.6071428571428572
dpb1857/synced,214,214,214,0,714,4,1.3221288515406162,1.3221288515406162,0,0.0,0.0,1.0084033613445378,1.0084033613445378,NaN,NaN
venid/liteng,77,77,76,1,134,1,3.8134328358208953,3.791044776119403,3,7.666666666666667,6.666666666666667,1.0,1.0,1.0,1.0
