name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
openstack-infra/zuul-jobs,1594,599,391,208,273,41,3.0,1.978021978021978,115,5.278260869565218,2.8521739130434782,1.8168498168498168,1.4212454212454213,2.765217391304348,1.826086956521739
openstack-infra/gear,395,180,130,50,24,36,8.333333333333334,5.708333333333333,11,15.727272727272727,10.0,4.166666666666667,3.0,7.0,4.454545454545454
openstack-infra/puppet-etherpad_lite,202,98,87,11,24,25,5.666666666666667,5.083333333333333,8,14.125,12.375,2.9583333333333335,2.5833333333333335,6.125,5.0
openstack-infra/shade,6241,2271,1378,893,335,118,9.617910447761194,4.050746268656717,159,18.9874213836478,7.2578616352201255,2.9313432835820894,1.9343283582089552,5.037735849056604,2.9371069182389937
openstack-infra/infra-manual,852,427,270,157,22,94,14.727272727272727,7.590909090909091,12,25.666666666666668,12.583333333333334,7.181818181818182,4.090909090909091,11.916666666666666,6.25
openstack-infra/nodepool,5717,1805,692,621,162,109,17.691358024691358,4.018518518518518,113,24.831858407079647,5.230088495575221,5.351851851851852,2.419753086419753,7.168141592920354,2.9646017699115044
openstack-infra/elastic-recheck,3301,2097,1495,602,170,168,4.623529411764705,2.652941176470588,48,13.229166666666666,6.25,2.4705882352941178,1.8529411764705883,5.75,3.5625
openstack-infra/openstackid-resources,544,367,352,15,863,5,3.645422943221321,3.578215527230591,38,22.55263157894737,21.026315789473685,1.0,1.0,1.0,1.0
openstack-infra/project-config,50840,31303,17643,13652,1264,1470,9.144778481012658,2.4992088607594938,771,14.332036316472115,3.437094682230869,4.249208860759493,1.7966772151898733,6.311284046692607,2.2905317769130997
openstack-infra/tripleo-ci,9506,2503,1511,986,130,108,12.830769230769231,3.523076923076923,91,17.87912087912088,4.582417582417582,4.153846153846154,2.1153846153846154,5.4945054945054945,2.5824175824175826
openstack-infra/zuul-sphinx,23,17,16,1,21,5,2.142857142857143,2.142857142857143,0,0.0,0.0,1.1428571428571428,1.1428571428571428,NaN,NaN
openstack-infra/system-config,27742,13302,8178,5118,409,633,14.535452322738386,5.425427872860635,251,22.884462151394423,8.0398406374502,4.929095354523227,2.5158924205378974,7.330677290836653,3.398406374501992
openstack-infra/openstack-zuul-jobs,2472,1199,690,508,573,128,3.682373472949389,1.9109947643979057,506,4.0019762845849804,1.9960474308300395,1.6701570680628273,1.4136125654450262,1.7371541501976284,1.4466403162055337
openstack-infra/jenkins-job-builder,7736,2624,1562,1062,1914,379,2.779519331243469,1.461337513061651,595,6.610084033613445,2.369747899159664,2.0632183908045976,1.2910135841170325,4.329411764705882,1.8453781512605043
openstack-infra/zuul,13206,4098,1055,1594,1190,173,5.707563025210084,1.6899159663865546,429,13.988344988344988,2.843822843822844,2.1882352941176473,1.2546218487394958,4.268065268065268,1.6783216783216783
openstack-infra/irc-meetings,1548,1051,712,339,117,275,5.965811965811966,4.119658119658119,86,7.348837209302325,4.837209302325581,3.6923076923076925,2.923076923076923,4.441860465116279,3.395348837209302
openstack/openstack-ansible-os_sahara,460,191,164,27,74,33,4.824324324324325,4.148648648648648,25,9.72,7.72,2.891891891891892,2.6216216216216215,5.12,4.32
openstack/blazar-dashboard,268,61,38,23,75,16,2.1333333333333333,1.5466666666666666,18,4.611111111111111,2.1666666666666665,1.2266666666666666,1.16,1.4444444444444444,1.1666666666666667
openstack/python-tripleoclient,5457,1520,886,626,202,147,9.876237623762377,3.782178217821782,89,20.775280898876403,6.943820224719101,4.178217821782178,2.301980198019802,8.0,3.741573033707865
openstack/rally,25937,5781,3405,2376,1881,505,8.802764486975013,2.5507708665603404,1358,11.731958762886597,3.0721649484536084,5.180754917597023,2.110047846889952,6.7260677466863035,2.472754050073638
openstack/monasca-tempest-plugin,320,269,159,110,68,44,5.705882352941177,2.7058823529411766,31,11.03225806451613,4.451612903225806,3.6323529411764706,2.3088235294117645,6.516129032258065,3.6129032258064515
openstack/python-swiftclient,2941,850,527,323,74,243,15.797297297297296,6.054054054054054,45,25.244444444444444,9.222222222222221,8.864864864864865,4.3108108108108105,13.866666666666667,6.377777777777778
openstack/puppet-murano,764,250,197,53,139,47,3.8345323741007196,2.9928057553956835,47,8.23404255319149,5.74468085106383,2.4676258992805757,2.1654676258992804,4.617021276595745,3.723404255319149
openstack/ansible-role-grafyaml,2,2,2,0,23,2,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
openstack/ceilometer,22453,6635,3704,2894,468,593,14.824786324786325,3.5982905982905984,310,21.741935483870968,4.7935483870967746,6.587606837606837,2.324786324786325,9.345161290322581,2.9096774193548387
openstack/puppet-rally,146,89,79,10,87,27,2.413793103448276,2.0919540229885056,26,2.769230769230769,1.6923076923076923,1.9080459770114941,1.6206896551724137,2.269230769230769,1.3076923076923077
openstack/networking-vsphere,2362,455,331,125,181,73,6.342541436464089,4.530386740331492,86,11.55813953488372,7.744186046511628,2.834254143646409,2.3646408839779007,4.546511627906977,3.558139534883721
openstack/puppet-barbican,547,221,175,46,107,41,4.355140186915888,3.485981308411215,42,8.357142857142858,6.142857142857143,2.6261682242990654,2.392523364485981,4.261904761904762,3.6666666666666665
openstack/puppet-heat,1349,555,416,138,139,102,7.0503597122302155,4.489208633093525,61,14.540983606557377,8.704918032786885,4.323741007194244,2.964028776978417,8.39344262295082,5.295081967213115
